城市,岗位,薪酬,技能,工作经验,学历,职位类型,人数,公司名称,公司类型,公司规模,公司行业,地址,职位更新日期
北京,大语言模型项目经理(J15732),3-6万·13薪,"['大语言模型', '大模型', 'RAG', 'Embedding']",经验不限,硕士,全职,1,启德教育集团,民营,1000-9999人,咨询服务,北京·朝阳·建外,2025/3/24
北京,销售工程师,1-2万,,5-10年,本科,全职,1,北京瓦特曼智能科技有限公司,民营,100-299人,人工智能,北京·朝阳·东湖,2025/3/12
北京,大模型应用开发工程师,1-2万,,1-3年,硕士,全职,1,龙源(北京)新能源工程技术有限公司,国企,100-299人,电力/水利/热力/燃气,北京·西城·新街口,2025/2/19
北京,空间计算开发工程师,2.7-4万,['深度学习'],1-3年,本科,全职,10,煤炭科学研究总院有限公司,国企,10000人以上,矿产/采掘,北京·朝阳·和平街,2024/6/15
北京,ros软件工程师,2.5-4万,,3-5年,本科,全职,1,北京源络科技有限公司,民营,20-99人,人工智能,北京·海淀,2025/3/15
北京,大模型应用算法工程师,面议,,1-3年,本科,全职,1,北京三快在线科技有限公司,上市公司,1000-9999人,互联网,北京,2025/3/31
北京,研发项目经理,9000-18000元,"['系统集成项目', 'PMP']",1-3年,本科,全职,5,北京玖瑞科技有限公司,民营,20-99人,人工智能,北京·海淀·上地,2025/3/13
北京,C++开发工程师,1.5-2.5万,"['图形图像处理', '图像识别']",1-3年,本科,全职,1,北京多维视通技术有限公司,民营,100-299人,计算机软件,北京·海淀·海淀街道,2025/4/1
北京,AI算法工程师-上海/北京,1.2-2.1万,"['图像识别产品', '机器人']",1-3年,本科,全职,1,北京耐思云科技有限公司,民营,100-299人,云计算/大数据,北京·东城·东华门,2025/2/26
北京,大模型资深算法工程师,面议,,3-5年,硕士,全职,4,北京三快在线科技有限公司,上市公司,1000-9999人,互联网,北京·朝阳·东湖,2025/3/10
北京,非标自动化设备销售,6000-12000元,,1-3年,大专,全职,3,北京奥尼泰科技有限公司,民营,20人以下,人工智能,北京·昌平·马池口,2025/3/24
北京,大模型算法工程师（YFZX）,2.5-4万,"['深度学习', '机器学习', '大模型算法', 'Transformer', '自然语言处理']",1-3年,硕士,全职,2,首都信息发展股份有限公司,国企,1000-9999人,互联网,北京·海淀·中关村,2025/3/21
北京,新能源功率预测与电价交易算法工程师,2.6-4.5万·13薪,"['深度学习', '机器学习', 'Transformer', 'LSTM', '大模型算法', '风功率预测', '电力交易']",经验不限,博士,全职,1,北京新叶科技有限公司,民营,100-299人,环保,北京·海淀·上地,2024/12/17
北京,算法工程师,1.4-2.2万·14薪,"['深度学习', '机器学习', '图像算法', 'PyTorch', 'TensorFlow', 'C++']",1-3年,本科,全职,3,北京弈云网络科技有限公司,民营,100-299人,电子商务,北京·朝阳·朝外,2025/3/7
北京,图像数据预处理工程师,200-250元/天,"['可转正', 'C++', 'Python', '图像处理', '深度学习']",无经验,本科,实习,1,北京戴纳实验科技股份有限公司,民营,300-499人,工程技术与设计服务,北京·丰台·看丹,2025/2/10
北京,软件工程师C++,2-4万·14薪,['C++'],3-5年,本科,全职,1,美泺(中国)有限公司,外商独资,20人以下,人工智能,北京·海淀·海淀街道,2024/11/1
北京,电力现货市场算法工程师,2-3万,"['Python', '电力现货市场算法', '电力市场']",3-5年,本科,全职,1,中和聚(北京)能源有限公司,民营,20-99人,电力/水利/热力/燃气,北京·海淀,2025/3/31
北京,项目经理,1-1.5万,['一级建造师（机电方向）'],1-3年,本科,全职,6,北京商海文天科技发展有限公司,民营,100-299人,人工智能,北京·丰台·看丹,2025/2/13
北京,机器视觉算法工程师,1.5-3万,"['视觉', '识别']",经验不限,硕士,全职,1,湖南凯之成智能装备有限公司,民营,20-99人,专用设备制造,北京·海淀·学院路,2024/8/29
北京,大模型算法工程师,3-4万,"['大模型算法', 'GPT', 'LoRa', 'FLASH ATTENTION']",5-10年,本科,全职,1,位来小猎(宁波)信息技术有限公司,合资,300-499人,计算机软件,北京·海淀·甘家口,2025/3/25
北京,综合部助理,4000-6000元·14薪,"['内勤管理', '固定资产管理', '采购事务']",1-3年,大专,全职,1,上海舜动科技有限公司,民营,20-99人,人工智能,北京·顺义,2025/3/27
北京,AI工程师（手术影像与视频分析）,1.8-3.5万·14薪,"['AI机器人训练', '手术规划', '手术视频分析', 'AI算法']",3-5年,硕士,全职,999,纳通医疗集团,民营,1000-9999人,医疗设备/器械,北京·海淀·中关村,2025/2/14
北京,销售主管（北京）,8000-12000元,['民办医院'],3-5年,大专,全职,1,深睿医疗,民营,500-999人,人工智能,北京·海淀·紫竹院,2024/11/22
北京,图像算法工程师,1-2万·13薪,"['机器人', '图像识别产品', '智慧交通']",经验不限,硕士,全职,6,北京铁道工程机电技术研究所股份有限公司,民营,300-499人,人工智能,北京·丰台·看丹,2025/3/31
北京,算法研究员,2.5-5万,"['大模型算法', 'NLP']",经验不限,博士,全职,3,神州医疗科技股份有限公司,股份制企业,500-999人,IT服务,北京·海淀·海淀街道,2025/3/31
北京,电力气象功率预测,2-4万,,经验不限,本科,全职,1,华夏飞滴科技有限公司,民营,20-99人,船舶/航空/航天/火车制造,北京·东城·建国门,2025/2/17
北京,大模型应用研究工程师,2-3万,['文本分析'],1-3年,本科,全职,2,北京拓普丰联信息科技股份有限公司,股份制企业,500-999人,IT服务,北京·朝阳·亚运村,2025/3/31
北京,大模型应用算法工程师,面议,,1-3年,硕士,全职,2,北京三快在线科技有限公司,上市公司,1000-9999人,互联网,北京,2025/4/1
北京,垂直财税大模型总监（数字票证） (MJ002787),4-8万,"['机器学习', '大模型算法']",5-10年,硕士,全职,1,博思软件,上市公司,1000-9999人,计算机软件,北京·海淀·马连洼,2025/2/28
北京,大模型技术专家,1.8-3.5万,"['机器学习', '图像算法', '深度学习']",1-3年,硕士,全职,1,航天科工(北京)空间信息应用股份有限公司,国企,100-299人,计算机软件,北京·丰台·看丹,2025/2/27
北京,大模型开发工程师,2-4万,"['大模型算法', '多模态算法', 'PyTorch', 'paddlepaddle', '搜索/推荐算法', '自然语言处理', 'Python', 'C++', 'Java', '开源大模型', 'TensorFlow']",3-5年,本科,全职,1,合享汇智,民营,20-99人,IT服务,北京·海淀·海淀街道,2025/4/1
北京,感知算法实习生,200-400元/天,"['可转正', '实习证明', '感知算法']",无经验,本科,实习,2,北京源络科技有限公司,民营,20-99人,人工智能,北京·海淀·上地,2025/2/28
北京,系统调试试验工程师,6000-10000元,['安装调试'],经验不限,大专,全职,1,北京神工科技有限公司,民营,20-99人,船舶/航空/航天/火车制造,北京·东城·和平里,2025/3/25
北京,算法开发工程师,2.4-4.5万,,经验不限,本科,全职,6,苏州人瑞普惠人力资源服务有限公司,上市公司,500-999人,互联网,北京·海淀·中关村,2025/2/8
北京,音频算法研发工程师,1.5-3万,"['音频算法', '信号处理', '机器学习', '深度学习']",经验不限,硕士,全职,1,三星(中国)投资有限公司,外商独资,10000人以上,电子/半导体/集成电路,北京·朝阳,2025/3/4
北京,弱电智能化CAD工程师,7000-10000元,"['CAD', '工程设计', '室内设计', '电气设计']",1-3年,大专,全职,2,湖南美家智能技术有限公司,民营,20-99人,人工智能,北京·海淀·苏家坨,2024/10/18
北京,商务经理,1.5-2.5万,"['渠道合作', '商务合作', '投标竞标', '企业客户', '政府客户', 'KA大客户']",3-5年,本科,全职,1,热数锦程(北京)科技有限公司,民营,20-99人,云计算/大数据,北京·朝阳·酒仙桥,2024/11/15
北京,电气工程师,5000-10000元·14薪,"['触摸屏', 'PLC', '西门子PLC', 'PLC程序设计', 'AutoCAD', '机器人', '电气维修维护', '电气安装调试']",3-5年,大专,全职,2,上海舜动科技有限公司,民营,20-99人,人工智能,北京·顺义,2025/3/3
北京,深度学习/机器学习算法工程师,1.5-2.5万,,1-3年,本科,全职,1,北京首创生态环保集团股份有限公司,国企,10000人以上,环保,北京·西城·展览路,2025/2/28
北京,AI工程师实习生（150-200元/天）,4000-5000元,,经验不限,本科,全职,3,特致珈(长沙)物联科技有限公司,民营,20-99人,互联网,北京·丰台·看丹,2025/2/25
北京,大模型算法工程师,1.5-2.5万,"['多模态算法', '大模型算法', 'Python', 'PyTorch', 'OpenCV', '自然语言处理', '知识图谱', 'GPT', 'BERT', 'ALIGN', 'BLIP']",无经验,硕士,全职,5,竞业达,股份制企业,500-999人,计算机硬件,北京·海淀·温泉,2024/10/25
北京,大模型研究算法专家,面议,,1-3年,硕士,全职,3,北京三快在线科技有限公司,上市公司,1000-9999人,互联网,北京,2025/4/1
北京,AI大模型开发经理,2-2.5万,"['大模型算法', '强化学习 ', '机器学习']",3-5年,本科,全职,1,北京市电通电话技术开发有限公司,股份制企业,100-299人,IT服务,北京·丰台·玉泉营,2025/3/7
北京,高级算法经理（医疗AI）,2.5-4万,['深度学习'],3-5年,硕士,全职,1,北京第一生物化学药业有限公司,民营,100-299人,医药制造,北京·朝阳·呼家楼,2025/2/27
北京,页面理解高级算法工程师,面议,,3-5年,本科,全职,2,北京三快在线科技有限公司,上市公司,1000-9999人,互联网,北京,2025/4/1
北京,机器人电气工程师,1-1.5万,"['设计', '安装/调试', '电路设计', '线路设计', '电机', '传感器']",1-3年,大专,全职,1,智平方(深圳)科技有限公司,民营,20-99人,人工智能,北京·朝阳·酒仙桥,2024/12/23
北京,图像算法工程师,1.5-2.5万,"['图像识别产品', '人脸识别产品', '智能硬件', 'C++', 'Python']",无经验,硕士,全职,1,竞业达,股份制企业,500-999人,计算机硬件,北京·海淀·温泉,2025/4/1
北京,法律知识工程师（大模型方向）(J10890),8000-11000元,"['公司', '非销售性质', 'A类法律职业资格证', '法律科技公司']",经验不限,本科,全职,2,北京华宇元典信息服务有限公司,民营,100-299人,互联网,北京·海淀,2025/2/21
北京,AI开发实习生,100-150元/天,,无经验,本科,实习,1,北京红马天安投资有限公司,民营,20-99人,证券/期货,北京·西城·金融街,2025/2/26
北京,区域销售负责人,2-3万,"['华北大区', '面销/陌拜', '渠道销售', '企业客户', '政府客户']",3-5年,本科,全职,1,深圳市施罗德工业集团有限公司,民营,300-499人,人工智能,北京·西城·广安门内,2025/3/14
北京,算法技术支持工程师,1-2万·14薪,['技术支持'],3-5年,本科,全职,2,北京弈云网络科技有限公司,民营,100-299人,电子商务,北京·朝阳·朝外,2024/10/21
北京,大模型研发工程师,1.5-3万,"['数据治理', '语料标注', '模型训练']",5-10年,硕士,全职,2,爱多邦(北京)信息技术服务有限公司,民营,100-299人,IT服务,北京·昌平,2024/12/10
北京,ai算法工程师,1.9-2.4万,"['图像算法', '机器视觉', '智能巡检']",3-5年,本科,全职,1,信华信技术(昆山)有限公司,民营,1000-9999人,计算机软件,北京·丰台·看丹,2025/3/17
北京,进站博士（AI/大模型）,2.5-5万,"['文本挖掘', '文本分析', '图片识别', 'PyTorch', 'Theano', 'TensorFlow']",经验不限,博士,全职,1,京北方,民营,10000人以上,IT服务,北京·海淀·紫竹院,2025/2/12
北京,评估方法模型设计开发工程师（评估数据研究部）,1.5-2.7万,"['自然语言处理', '机器视觉', '知识图谱', '机器学习', 'Python', 'PyTorch', 'TensorFlow', '逻辑回归', 'SVM', 'XGBoost', 'C++', 'Java']",经验不限,硕士,全职,1,北京(海淀)大数据先进技术研究院(北京大数据先进技术研究院),事业单位,100-299人,云计算/大数据,北京·海淀·四季青,2025/2/18
北京,AI大模型性能优化工程师(A77684),2-3万·14薪,"['大模型算法', 'TensorFlow', 'PyTorch']",3-5年,硕士,全职,1,北京城建智控科技股份有限公司,国企,500-999人,IT服务,北京·东城·永定门外,2025/2/26
北京,算法工程师,1.5-1.8万,"['机器学习', '深度学习', 'K-means算法', '随机森林', 'PyTorch', 'Python']",经验不限,硕士,全职,2,国新健康保障服务集团股份有限公司北京分公司,国企,1000-9999人,卫生服务,北京·朝阳·香河园,2025/2/27
北京,软件渠道销售,6000-10000元,"['面销/陌拜', '网络销售', '电话销售']",1年以下,大专,全职,1,小哆智能科技(北京)有限公司,事业单位,20-99人,IT服务,北京·海淀·马连洼,2025/3/10
