city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_name,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,error_reason,is_deleted
北京,人工智能产业应用工程师,1.5-30万,,经验不限,哈哈,全职,1,中国信息通信研究院,北京·海淀·花园路,2025/4/1,157500.0,True,,,学历无效，薪酬太高,"是,否"
北京,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,北京·海淀,2025/3/5,75000.0,True,学历不限,,薪酬太高,否
北京,投资合伙人,5-10万,,经验不限,学历不限,全职,6,郑州中润人工智能科技有限公司,北京·海淀,2025/2/8,75000.0,True,学历不限,,薪酬太高,否
北京,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,北京·朝阳·建外,2025/3/5,75000.0,True,学历不限,,薪酬太高,否
北京,AI算法专家,5-9万·14薪,"['自然语言处理', 'Python', '大模型算法', '教育行业']",经验不限,本科,全职,1,厦门贤士达信息咨询有限公司,北京·海淀·上地,2025/3/21,70000.0,True,本科,,薪酬太高,否
北京,【国企】人工智能/大模型方向-技术专家-博士,4-7万·14薪,"['深度学习', '机器学习', '大模型算法', '自然语言处理', '44以下', '油气', '能源']",3-5年,博士,全职,1,锐仕方达人才科技集团有限公司,北京·昌平,2025/3/5,55000.0,True,博士,4.0,薪酬太高,否
北京,投资合伙人,5-10万,,经验不限,学历不限,全职,6,郑州中润人工智能科技有限公司,北京·朝阳·建外,2025/2/8,75000.0,True,学历不限,,薪酬太高,否
北京,AI人工智能高管,10-12万,,10年以上,博士,全职,1,北京超维联合贸易有限公司,北京·朝阳,2025/2/20,110000.0,True,博士,,薪酬太高,否
北京,资深大模型研究员（北京）,4-8万·14薪,,经验不限,博士,全职,1,浪潮集团,北京·海淀,2024/11/20,60000.0,True,博士,,薪酬太高,否
北京,机器学习高级技术专家,12-17万·13薪,['机器学习'],1-3年,博士,全职,1,北京神舟航天软件技术股份有限公司,北京·海淀,2025/3/5,145000.0,True,博士,2.0,薪酬太高,否
北京,LLM基模型训练专家,5-8万·14薪,"['DNN', 'CNN', 'RNN', 'LSTM']",1-3年,硕士,全职,1,浪潮集团,北京·海淀·马连洼,2025/3/28,65000.0,True,硕士,2.0,薪酬太高,否
北京,AI Agent兼职讲师,2000-4000元/天,"['课程教授', '大模型微调', '会使用COZE搭建智能体', 'Transformer', 'RAG', '检索增强生成']",经验不限,本科,兼职/临时,1,大技狮(广州)科技有限公司,北京·朝阳·大屯,2025/3/14,65250.0,True,本科,,薪酬太高,否
北京,CTO,5-7.5万,"['服务器配置', '算法基础', '负载均衡技术']",5-10年,硕士,全职,1,融讯科技,北京·丰台·马家堡,2025/3/24,62500.0,True,硕士,7.5,薪酬太高,否
北京,大模型算法工程师,4-8万·14薪,['大模型'],经验不限,硕士,全职,1,智联招聘,北京·朝阳·望京,2025/1/17,60000.0,True,硕士,,薪酬太高,否
北京,AI算法专家级研发工程师,6-7万,"['机器学习', '深度学习', '图像算法', 'Transformer', 'Python', 'C++']",3-5年,硕士,全职,1,公安部第一研究所,北京·海淀·甘家口,2024/10/18,65000.0,True,硕士,4.0,薪酬太高,否
北京,多模态行业基模型训练,5-8万·14薪,"['机器视觉', '自然语言处理', '人工神经网络', 'Transformer']",3-5年,硕士,全职,1,浪潮集团,北京·海淀·马连洼,2025/3/28,65000.0,True,硕士,4.0,薪酬太高,否
北京,AI算法专家,4-7万·13薪,"['深度学习', '大模型算法', '多模态算法', 'GPT']",3-5年,硕士,全职,1,光庭信息,北京·海淀·花园路,2025/2/25,55000.0,True,硕士,4.0,薪酬太高,否
北京,3D 激光算法工程师（初级）,7-14万·14薪,"['深度学习', '图像算法', '机器视觉', 'C++', 'SLAM', '3D激光', 'PCL']",1-3年,本科,全职,1,上海舜动科技有限公司,北京·顺义,2025/3/1,105000.0,True,本科,2.0,薪酬太高,否
北京,检测算法工程师,4.5-9万,"['Python', '深度学习', 'TensorFlow']",3-5年,本科,全职,1,北京壹据技术有限公司,北京·海淀·中关村,2024/11/18,67500.0,True,本科,4.0,薪酬太高,否
北京,AI大模型训练专家(A142920),8-10万,"['框架', '微调', '训练']",10年以上,硕士,全职,1,捷安高科,北京·石景山·苹果园,2025/3/5,90000.0,True,硕士,,薪酬太高,否
