city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
北京,人工智能技术（自然语言）,2-4万,"['文本分析', 'PyTorch', 'RNN', 'GAN', 'Python', 'BERT', 'TensorFlow', 'GPT', '神经网络', '机器学习']",3-5年,本科,全职,3,北京·朝阳·高碑店,2024/7/27,30000.0,False,本科,4.0,26453
北京,大模型应用开发,1-2万,"['爬虫', '数据处理', '计算机模型', '机器学习', '大模型算法', '多模态算法', 'Python']",经验不限,本科,全职,1,北京·昌平,2025/3/19,15000.0,False,本科,,26454
北京,大模型应用开发工程师,2.5-5万,"['数据建模', '大数据开发', '应用部署', 'LLM模型', 'AGENT', 'Python']",3-5年,本科,全职,1,北京·海淀·上地,2025/3/18,37500.0,False,本科,4.0,26455
北京,AI训练师*--中文方向,1.1-1.6万,"['语音算法', '机器学习']",经验不限,本科,全职,28,北京·海淀·清河,2025/3/30,13500.0,False,本科,,26406
北京,信息中心 人工智能岗,2-2.1万,,3-5年,本科,全职,1,北京·西城·什刹海,2025/3/14,20500.0,False,本科,4.0,26456
北京,智能体研发工程师,1.5-2.5万,"['大模型算法', 'Python', '机器视觉', '自然语言处理', '搜索/推荐算法', '机器学习', '多模态算法', 'PyTorch', 'TensorFlow', 'Keras']",经验不限,本科,全职,1,北京·海淀·北下关,2025/2/14,20000.0,False,本科,,26457
北京,人工智能AI培训师,5000-10000元,"['课程策划', '课程教授', '项目实训', '人工智能', 'AI', 'AI通识']",3-5年,本科,兼职/临时,1,北京·朝阳·呼家楼,2025/3/30,7500.0,False,本科,4.0,26446
北京,【Deepseek人工智能软件赛道+双休收入高】,1.3-2.6万,"['面销/陌拜', '区域销售']",1年以下,大专,全职,10,北京·朝阳,2025/3/18,19500.0,False,大专,,26458
北京,人工智能/机器学习专家,3-6万,"['机器视觉', '图像算法', '自然语言处理', '聚类算法', '降维算法', '分类回归']",经验不限,本科,全职,1,北京·朝阳·八里庄,2025/3/6,45000.0,False,本科,,26459
北京,AI大模型工程师,1.5-2万,"['自然语言处理', 'Python', '英文读写']",3-5年,本科,全职,1,北京·海淀·马连洼,2025/3/31,17500.0,False,本科,4.0,26460
北京,昇腾FAE(AI),1.1-2.2万,"['深度学习', '机器学习', '图像算法', 'Python', 'C++']",3-5年,本科,全职,3,北京·朝阳·朝外,2025/3/7,16500.0,False,本科,4.0,26461
北京,人工智能+能源研究员,1.5-2万,,3-5年,硕士,全职,1,北京·海淀·花园路,2025/4/1,17500.0,False,硕士,4.0,26402
北京,人工智能岗,3-4万,,5-10年,本科,全职,1,北京·朝阳·八里庄,2025/4/1,35000.0,False,本科,7.5,26462
北京,人工智能技术应用岗,2.5-3.5万,,1-3年,硕士,全职,1,北京·昌平·史各庄,2025/2/26,30000.0,False,硕士,2.0,26463
北京,nlp对话机器人,1.5-3万,"['C#', '翻译系统', '机器翻译', 'C++', 'Python']",1-3年,学历不限,全职,3,北京·丰台·东铁匠营,2025/3/6,22500.0,False,学历不限,2.0,26464
北京,大模型算法工程师,4-6万·14薪,"['多模态算法', '大模型算法', 'C++', 'Python', 'LLM']",5-10年,本科,全职,10,北京·海淀·清河,2025/3/4,50000.0,False,本科,7.5,26465
北京,人工智能算法测试工程师r,1.3-2.3万,"['TensorFlow', 'PyTorch', 'Python', 'AI']",1-3年,本科,全职,6,北京·海淀·青龙桥,2025/3/13,18000.0,False,本科,2.0,26466
北京,科学研究（人工智能开发工程师）,1.3-2.5万,,经验不限,本科,全职,3,北京·海淀·四季青,2025/1/20,19000.0,False,本科,,26467
北京,大模型和知识库开发工程师,1.1-1.8万,['Python'],1-3年,本科,全职,1,北京·顺义·空港,2025/3/15,14500.0,False,本科,2.0,26468
北京,项目经理（人工智能）,1.5-2.2万,"['AI项目', 'PMP', '电子政务']",3-5年,本科,全职,2,北京·海淀·中关村,2025/3/28,18500.0,False,本科,4.0,26469
北京,人工智能治理研究员25SZSCQ01,1.5-2万,,经验不限,硕士,全职,1,北京·西城·德胜,2025/4/1,17500.0,False,硕士,,26402
北京,人工智能应用研发,2-4万,['深度学习、AI产品经理'],5-10年,本科,全职,1,北京·朝阳·东湖,2025/3/31,30000.0,False,本科,7.5,26470
北京,人工智能应用研发工程师,2-3万,,无经验,硕士,全职,1,北京·海淀,2025/2/15,25000.0,False,硕士,0.0,26471
北京,人工智能高级算法研发工程师,3.5-6万·13薪,,5-10年,本科,全职,3,北京·海淀,2025/3/28,47500.0,False,本科,7.5,26430
北京,人工智能与数字资产管理岗,1.5-3万,,经验不限,硕士,全职,2,北京·石景山·古城,2025/3/13,22500.0,False,硕士,,26472
北京,机器学习算法工程师,1.5-3万,"['机器学习', '人工智能', '算法', 'Python']",经验不限,本科,全职,1,北京·大屯,2025/2/17,22500.0,False,本科,,26473
北京,【国企】人工智能/大模型方向-技术专家-博士,4-7万·14薪,"['深度学习', '机器学习', '大模型算法', '自然语言处理', '44以下', '油气', '能源']",3-5年,博士,全职,1,北京·昌平,2025/3/5,55000.0,True,博士,4.0,26474
北京,人工智能开发平台研发工程师,3-5.5万·13薪,,5-10年,本科,全职,1,北京·海淀,2025/3/28,42500.0,False,本科,7.5,26430
北京,投资合伙人,5-10万,,经验不限,学历不限,全职,6,北京·朝阳·建外,2025/2/8,75000.0,True,学历不限,,26405
北京,人工智能硬件研究员,1.5-2万,['人工智能'],1-3年,硕士,全职,1,北京·海淀·花园路,2025/4/1,17500.0,False,硕士,2.0,26402
北京,人工智能技术支撑岗位（驻国企，入职五险一金）,1.1-1.3万,"['软件产品', '智能产品']",3-5年,本科,全职,1,北京·西城·椿树,2024/12/30,12000.0,False,本科,4.0,26475
北京,人工智能业务专家,1.5-3万,['电力'],3-5年,本科,全职,1,北京·丰台·右安门,2025/3/24,22500.0,False,本科,4.0,26476
北京,大模型开发工程师,1.8-3.5万,"['数据治理', '数据架构', '数据建模']",1-3年,本科,全职,10,北京·朝阳·和平街,2024/6/15,26500.0,False,本科,2.0,26477
北京,智能制造解决方案工程师,1-2万,"['人工智能', 'IT/互联网', '文字功底', 'MES、ERP、PLM', 'EAM、DNC、MDC']",经验不限,本科,全职,5,北京·西城·德胜,2024/5/20,15000.0,False,本科,,26478
北京,AI人工智能高管,10-12万,,10年以上,博士,全职,1,北京·朝阳,2025/2/20,110000.0,True,博士,,26479
北京,人工智能算法工程师,1.5-3万,"['深度学习', '强化学习 ', '大模型算法', 'Transformer', '自然语言处理', '通信算法', 'PyTorch', 'Python', 'C++', 'C语言']",3-5年,本科,全职,1,北京·海淀,2025/3/6,22500.0,False,本科,4.0,26480
北京,机器学习工程师,1.5-3万·15薪,"['机器学习', 'Python', '模式识别', '深度学习', 'TensorFlow', 'PyTorch', '模型剪枝量化']",1-3年,本科,全职,5,北京·海淀·马连洼,2024/10/21,22500.0,False,本科,2.0,26481
北京,RPA项目经理/助理,9000-18000元,"['RPA', 'PMP', '项目管理']",1-3年,本科,全职,1,北京·西城·椿树,2025/3/11,13500.0,False,本科,2.0,26482
北京,人工智能产品经理,1.5-2.5万,,5-10年,本科,全职,1,北京·西城·椿树,2025/4/1,20000.0,False,本科,7.5,26438
北京,人工智能技术开发岗位,面议,,3-5年,硕士,全职,1,北京·海淀,2025/3/7,,False,硕士,4.0,26483
北京,机器学习算法工程师,1.5-3万,,无经验,本科,全职,1,北京·海淀·曙光,2025/3/8,22500.0,False,本科,0.0,26484
北京,【Deepseek人工智能软件赛道+双休收入高】,1.2-2.4万,['面销/陌拜'],1年以下,大专,全职,10,北京·朝阳,2025/3/18,18000.0,False,大专,,26458
北京,人工智能实习生,8000-9000元,"['智能客服训练', 'AI机器人训练']",1年以下,本科,全职,1,北京·朝阳·高碑店,2024/6/8,8500.0,False,本科,,26479
北京,人工智能开发工程师,2-2.5万,['深度学习'],1-3年,本科,全职,2,北京·海淀·甘家口,2024/7/5,22500.0,False,本科,2.0,26485
北京,人工智能技术研究员,1.4-1.8万·14薪,"['知识图谱', '自然语言处理', 'Java', 'Python']",经验不限,硕士,全职,1,北京·海淀,2025/2/26,16000.0,False,硕士,,26486
北京,高级研究员（人工智能方向）,2-4万,"['主题模型', '逻辑回归']",经验不限,博士,全职,2,北京·丰台·看丹,2025/3/11,30000.0,False,博士,,26487
北京,人工智能研发工程师,1.4-2.7万,"['图像算法', 'PyTorch', 'TensorFlow', 'Python', 'C++', '中医']",无经验,博士,全职,1,北京·昌平·史各庄,2024/12/9,20500.0,False,博士,0.0,26488
北京,人工智能专家,2.2-4万·15薪,['图像识别产品'],5-10年,本科,全职,1,北京·石景山·苹果园,2025/3/13,31000.0,False,本科,7.5,26489
北京,人工智能技术研究员,1.4-1.8万·14薪,"['深度学习', 'Python']",1-3年,硕士,全职,999,北京,2025/3/21,16000.0,False,硕士,2.0,26486
北京,大模型应用开发工程师,1-2万,"['大模型算法', '深度学习', '多模态算法', 'Transformer', 'ResNet', 'GPT', '机器视觉', '自然语言处理', '知识图谱', 'PyTorch', 'TensorFlow', 'Python', 'ALIGN', 'LSTM']",1-3年,本科,全职,1,北京·海淀·海淀街道,2025/3/31,15000.0,False,本科,2.0,26490
北京,大模型应用开发工程师,1-1.9万,"['大模型部署', 'Python', '爬虫', '数据处理', 'Pandas', 'NumPy']",3-5年,本科,全职,1,北京·昌平,2025/4/1,14500.0,False,本科,4.0,26454
北京,人工智能课程设计（兼讲师）,1.5-1.8万,"['课程策划', '课程教授', '项目实训']",无经验,硕士,全职,1,北京·海淀·马连洼,2025/3/5,16500.0,False,硕士,0.0,26491
北京,科学数据和人工智能岗,2-2.4万,,1-3年,博士,全职,1,北京·石景山·老山,2024/9/13,22000.0,False,博士,2.0,26492
北京,算法工程师,9000-10000元,"['Python', 'C++', 'Java']",经验不限,硕士,全职,1,北京·海淀,2025/3/31,9500.0,False,硕士,,26493
北京,AI应用工程师,1.5-3万,"['ERP系统', '飞书系统', '智能客服', '知识图谱', '智能机器人', '智能问答', '大模型', 'CHATGPT', 'DEEPSEEK']",经验不限,大专,全职,2,北京·海淀·中关村,2025/3/23,22500.0,False,大专,,26494
北京,纤维新材料数据分析与人工智能研究员,1.2-2.4万,"['数据科学', '计算机科学', '数据建模', 'R语言', '数据挖掘', '数据仓库']",1-3年,硕士,全职,1,北京·朝阳·八里庄,2024/11/18,18000.0,False,硕士,2.0,26495
北京,人工智能产品经理,1.6-2万,"['产品规划', '产品设计', '产品优化']",5-10年,本科,全职,5,北京·昌平·十三陵,2025/3/25,18000.0,False,本科,7.5,26409
北京,人工智能工程师,1-1.8万·15薪,['深度学习'],经验不限,硕士,全职,1,北京·朝阳·朝外,2025/3/3,14000.0,False,硕士,,26496
北京,资深大模型研究员（北京）,4-8万·14薪,,经验不限,博士,全职,1,北京·海淀,2024/11/20,60000.0,True,博士,,26497
北京,人工智能研发工程师,2-3.5万,,3-5年,硕士,全职,3,北京·朝阳·和平街,2025/3/17,27500.0,False,硕士,4.0,26498
